𦆁|𦝠 糸
煝|火 𠃜 目
𡃜|口 石 隺
𩭆|镸 彡 人 一 口
諠|言 宀 二 曰
𢹣|扌 矢 丿 大 口 冂 口
𥍺|矛 凵 乂 儿 夊
𥶊|𥫗 目 廾 㔾 皿
𩖧|風 火
𪁧|辰 鳥
䏦|⺼ V𠯑
𣘦|匸 矢 𠘧 又 木
𡥭|卩 丶 爫 子
㣬|彳 口 耳
鍱|金 世 木
𧫿|言 彐 工 口 寸
䡷|車 艹 土 厶 皿
毶|毛 厶 大 彡
𢃼|巾 𠃜 目
𤟔|犭 長
㪁|人 一 乛 攴
嬀|女 爲
羃|罒 艹 日 大 巾
頂|一 亅 頁
𩭗|镸 彡 甫
𧣖|角 宀 匕
𩩕|骨 白 儿
𨴬|門 𠂒 口
䌐|糹 爫 目 儿
枓|木 斗
𨀒|𧾷 𠂇 巾
𪒕|田 共 黑
馗|九 首
㘞|囗 力
𦬠|艹 廾
𠾣|口 木 木 木
䲥|九 鳥
膧|⺼ 立 里
𥉝|目 𠁁
𡌰|女 尸 匕 土
㞳|山 斗
倲|亻 東
璵|王 V𢍱 与
锴|钅 匕 匕 白
𧓞|虫 鬲 丰
𨄴|𧾷 土 丷 干 丸
𣭀|勹 巳 毛
硂|石 入 王
𡳅|尸 V皀 旡
凇|冫 木 八 厶
雉|矢 隹
𩢪|馬 十 口
𧚌|衣 爿 士
恒|忄 二 曰
𠓕|二 儿 𠂒 儿 𠂒 儿 貝
𪕔|鼠 耳
秗|禾 丿 大
驖|馬 十 戈 口 土
𤹥|疒 士 𠃜 𠘧 又
𣞻|木 罒 厶 ⺼ 匕 匕
𩴑|鬼 厶 厶 厶 人 彡
𠡢|巛 歹 力
䵤|干 干 黑
懧|忄 宀 心 皿 一 亅
艦|舟 臣 人 丶 皿
𧷋|襾 女 貝
𧒽|虫 雨 田
鯫|魚 耳 又
𩞖|飠 𦍌 皿
𩎝|韋 夕 㔾
𩔼|广 V炗 頁
𣁲|斗 夂 ⺀
畴|田 丰 寸
仹|亻 丰
𥺰|米 日 木
菻|艹 木 木
𨻁|阝 自 心
𡶄|山 勹 巳
劆|广 兼 刂
鞈|革 人 一 口
栍|木 生
𠖔|冖 一 㒸
窖|穴 𠂒 口
𤬡|𦥑 丿 囗 乂 一 火 瓜
𡀝|口 禾 人 一 乛 心
唟|土 厶 口 七
訡|言 人 一 乛
𨎚|車 米 田
𤗇|片 穴 工
抦|扌 一 内
𦼝|⺾ 忄 巛 丿 囗 乂
㠭|工 工 工 工
累|田 糸
𨋉|水 車
侸|亻 一 口 䒑
貺|貝 口 儿
政|一 止 攵
𥩁|穴 𥫗 土 丷 干 人
齃|鼻 曰 勹 𠃊 人
𦁊|糹 土 土 卜
𦭷|艹 厶 牛
𤛾|牜 V頁 心 夊
矈|目 白 穴 方
𤣶|玉 山
𠵏|口 匸 人 一 口
䉑|𥫗 Z無X 灬
蝓|虫 人 一 月 刂
𩞢|飠 阝 HX隋
𥧏|穴 耂 日
𡿘|山 山 糹 丷 囗 小 曰
𪓈|黑 艹 丿 㠯 辛 子
峚|山 大 土
釜|父 干 䒑
㕟|H㕟X 又
𥊤|目 彳 日 一 寸
橡|木 象
𩛑|飠 亻 支
𥥺|穴 戼
𣝐|Z囊X 臼 木
𠟨|雨 人 一 マ 刂
䓪|艹 日 勿
𡉱|土 冄
坳|土 幺 力
𧑒|虫 Z亯X 子 攵
鑵|金 卝 隹 口 口
𦝿|⺼ 卜 口 灬
𢿸|𥫗 朿 攴
泺|氵 乐
𡼂|山 鹿
㮅|木 隹
锆|钅 𠂒 口
𤜭|犭 子
𥺃|米 士 心
檏|木 业 䒑 未
𥪹|立 阝 HX隋
𠜒|車 刂
𢎕|齒 弋
妙|女 小 丿
𩶅|魚 氏 一
𧖱|丿 皿 𠂎 卩
瘜|疒 自 心
𡊟|土 目
袣|衤 世
𢼢|乂 木 攴
𪔦|鼓 氵 冂 一 口
𡸬|山 𨸏
㪯|文 V扌
𤕜|爻 一
鐰|金 口 口 口 木
𢱞|手 艹 屮 凵
䴶|麥 夂 丰
榹|木 𠂆 虍 儿
𤬵|氏 一 瓦
𨉞|身 土 八 夊
𠘼|几 屮 凵
壃|土 三 田 田
畆|亠 田 厶
𨦍|金 臣
𧖶|氵 冘 丿 皿
迍|辶 屯
𢹌|扌 辶 V尾 牛
𪑐|尸 毛 黑
䃓|石 𠀎 冉
𡵖|山 火
㧙|扌 必
𣣥|大 丶 皿 欠
𩭚|镸 彡 口 木
𩰻|鬲 求
𥥤|穴 舛
䱠|魚 戈 戈
棣|木 隶
𦈸|缶 戈 口 一
𩙈|風 口 口 口 木
𠕦|冂 二 人 一 月 刂
𢇩|广 一 廾
𥼽|米 ⺌ 冂 口 田
荪|艹 子 小
忭|忄 丶 一 卜
瑰|王 鬼
𡃳|口 V𢍱 冂 一 口
𪄒|镸 彡 鳥
軷|車 犮
𢵶|扌 金 屯
𧝳|衤 白 方 攵
䟽|𧾷 𠫓 V川
𨿫|大 一 亅 口 隹
紁|糹 乂 丶
𡲀|尸 穴 工
𥬕|𥫗 冉
骄|马 丿 大 丿 丨
㘇|口 𤇾 木
厊|厂 牙
𦵬|艹 礻 乍
攑|扌 V𢍱 与 V扌
𠒐|十 口 儿 一 ZX方
芔|屮 屮 屮
君|尹 口
箚|𥫗 人 一 口 刂
𨋄|車 冘
𠴡|口 白 儿
𤛱|Z學X 牛
𩴚|鬼 齐 示
謥|言 囪 心
簫|𥫗 肅
措|扌 卄 一 日
𨏳|車 山 隹 冂 八 口
馮|冫 馬
㔱|匚 臾
労|ッ 冖 力
搻|人 一 口 手 手
膾|⺼ 人 一 囗 小 曰
孅|女 人 人 戈 韭
竄|穴 鼠
𤨠|𤣩 ⺌ 冂 口 土
𠱋|口 由
𣏊|木 冂 一
詏|言 幺 力
𧐎|虫 爫 目 儿
𥫹|𥫗 冘
𨤢|小 丿 里
䍕|冂 乂 氏 一
拔|扌 犮
飘|襾 示 风
㑛|亻 束
𥇎|目 弓 𠂉 小
凞|冫 丿 臣 巳 灬
𣵑|氵 一 ZX方 攵
𦤢|氵 自 人 一 𠕁
步|止 𣥂
𠫤|乂 𠂇 厶
𦤯|自 犬 甘 匸 八 力
胨|⺼ 东
婯|丽 女
秮|禾 厶 口
𡍵|阝 厶 儿 夊 土
𤘨|人 一 乛 牛
襹|衤 丽 鹿
𥐵|石 匸 八
䉿|米 乎
懾|忄 耳 耳 耳
𨔪|辶 勹 車
𤙗|牜 弓 弓
𨾀|屮 凵 示 隶
𣂉|亠 丷 冂 十 口 斗
儈|亻 人 一 囗 小 曰
涋|氵 宀 犬
鈊|金 心
𨵴|門 十 冂 丷 干
㰖|木 臣 人 丶 目 儿
礘|石 日 幺 幺 灬
𡖛|夕 冂 八 口
嚝|口 广 黃
鎟|金 又 又 又 木
𢐦|尸 口 辛 弓
愨|士 冂 一 𠘧 又 心
㶫|大 丷 火
纭|纟 二 厶
鼬|鼠 由
𧄲|⺾ 言 艹 日 大
𤩟|𤣩 王 門
𠤸|匚 缶
𢖻|心 夊
䨺|雨 二 厶 雨 二 厶 雨 二 厶
暽|日 米 舛
蜼|虫 隹
𪎿|黃 而
鳁|鱼 日 皿
𨢷|酉 鹿
𦞔|⺼ 忄 光
𣅈|夂 日
𩗜|風 𠂊 厂 㔾
牊|片 刀 口
䯏|骨 V𠯑
蓑|艹 衣 口 一
𩍥|革 雨 而
𡩚|宀 V彖
㛝|女 貝
坜|土 厂 力
珟|王 几 丶 夕
遞|辶 𠂆 虍 儿
𥹧|米 聿
𩞐|彳 HX從 食
𤆽|火 丱
𠉪|亻 𠫓 木
罬|罒 又 又 又 又
𡯯|尢 丶 共
𥏦|矢 目 一 丂
哱|口 孛
釳|金 𠂉 乙
𨒿|辶 襾
𧬷|言 虍 豕
𧣨|角 辰
𦆴|糹 日 幺 幺 灬
𧈥|虫 厶
杼|木 マ 𠄐
𠏿|亻 鼻
𪁾|艹 丿 大 鳥
鶀|鳥 其
㤃|忄 方
𣯪|毛 彳 止 人 卜
稅|禾 八 口 儿
𦺖|艹 矛 冂 八 口
䢎|辶 一 廾
薐|艹 禾 土 八 夊
𢄓|巾 Q烏X 灬
𥥂|穴 夫
戕|爿 戈
頙|一 止 頁
𨇮|𧾷 門 䒑 屮 欠
㞜|P𡳐X 禾 女
炞|火 丶 一 卜
𦵱|艹 尸 ⺌ ⺼
𠨥|𠂎 耳 𠂎 卩
𧃇|艹 ⺼ 𦍌 䒑 口
𤜧|巾 犬
耩|耒 𠀎 冉
喰|口 食
隲|阝 小 丿 馬
𣈵|日 臾
漷|氵 Z亯X 子 阝
𩲘|耂 鬼
𦊞|网 民
𠂾|丿 㠯 不
緀|糹 Z妻X 女
𥕊|石 艹 犬 廾
偉|亻 韋
赋|贝 一 弋 止
𩗶|風 亠 人 人 十
𢣎|忄 㡭
旐|方 人 兆
𪛒|𥫗 龠 𠘧 又
𦳏|艹 木 且
𣽗|氵 王 豖
𥃸|目 也
硙|石 山 己
𧽮|走 戈 口 王
𣝑|V𢍱 与 木
𣱻|水 几
𣦤|Z亯X 子 攵 一 止
𦮰|艹 亦
仢|亻 勹 丶
诤|讠 𠂊 ZX爭
𢝧|忄 艮 心
恩|囗 大 心
嵫|山 䒑 幺 幺
鹭|𧾷 夂 口 鸟
㗰|口 彳 HX從
盲|亠 𠃊 目
䕻|艹 丽 鹿
𩧾|马 西 土
虽|口 虫
𨑔|辵 巳
𤳃|由 爫 幺 大
堄|土 臼 儿
璇|王 方 人 疋
𢶍|扌 一 大 韭
𨆃|𧾷 木 木 示
謎|言 辶 米
䀔|目 丶 刀
𤊅|亟 灬
際|阝 Z祭X 示
㤚|忄 彳 一 一 亅
価|亻 襾
栤|木 冫 水
𠒧|朿 朿 儿
𤞰|犭 求
𤁺|氵 𠂹 𠂇 工
嬮|厂 日 ⺼ 犬 女
瞱|目 艹 ZX華
𨒲|辶 丿 未
𨕱|辶 山 夂 丰
𢲷|扌 穴 亠 父
訸|言 禾
𪚻|央 龜
𥬱|𥫗 𠫓 儿
𤌾|高 火
𡿁|禾 女 鬼 山
駅|馬 尸 ㇏
㡄|巾 勹 日
介|人 丿 丨
𥁭|氵 冘 皿
歎|HX漢 欠
𠟑|囗 㐅 言 刂
臕|⺼ 鹿 灬
𢁔|厶 巾
婘|女 V𢍏 㔾
盛|丿 戈 𠃌 皿
𦱤|艹 日 廾
赢|𦝠 贝
𤃧|氵 扌 辶 土 羊
䉨|𥫗 豙 𠘧 又
𢚲|忄 己 攵
飯|飠 厂 又
㭮|木 巛 歹
𨟩|鹵 𣆪 邑
𧸒|矢 一 口 䒑 貝
𧄿|艹 𦝠 羊
橸|木 日 日 日
胿|⺼ 土 土
嶂|山 音 十
猉|犭 其
貌|豸 白 儿
𢠏|忄 人 一 口 皿
𥡬|禾 彳 HX從
𪈓|𥫗 土 丷 干 人 鳥
䖒|虍 一 口 䒑
𣳯|氵 幺 幺
𡬙|V㝱 貝 刂
𣪘|白 匕 𠘧 又
𩽮|鳥 艹 爿 戈 臣
锝|钅 日 一 寸
䨣|雨 革
涢|氵 口 贝
𠌩|亻 𠙖
岬|山 甲
𥮍|𥫗 爫 丿 土
𤉉|禾 刂 灬
爳|爲 了
𡖲|夕 夕 爫 女
𦎑|羊 口 丿 口
𦏈|羊 厂 禾 禾
𢬹|扌 𡉵
𪔽|鼠 冘
䒼|艹 曲
𥑴|石 衣
𣒡|木 彡 木
𡩃|宀 忄 亙
㷂|臣 又 火
鑇|金 齊
𩔠|目 未 頁
𦞳|⺼ 宀 谷
䵍|黃 Z亯X 子
泌|氵 必
𢗒|忄 丰
忖|忄 寸
𣫎|士 冂 一 𠘧 又 束
畝|亠 田 久
𡓜|土 广 嗇
軠|車 一 士
𥆏|目 丿 戈 𠃌
𧾧|走 虍 田 心
𪑧|黑 世 木
䟦|𧾷 丿 𠂇 又
𡵭|屯 山
𣳬|氵 缶
靱|革 刄
𣢩|力 力 力 欠
𧨩|言 一 大 㣺
𤤒|王 犮
䱷|虍 魚 攵
濶|氵 門 V𠯑
𠕽|冖 水
𢓼|彳 日 匕
𩪑|骨 巛 果
㺁|犭 巛 丿 囗 乂
开|一 廾
箃|𥫗 耳 又
鰂|魚 貝 刂
𢵗|扌 艹 勹 米
𣲀|氵 彡
𨚭|弗 邑
𠨎|㔾 㔾
䜐|阝 HX隋 言
掓|扌 卜 一 小 又
萒|艹 亠 八 厶 儿
𪂕|雨 鳥
鶗|日 V正 鳥
𥴅|𥫗 米 西
𢀮|亠 囗 口 禾 工 コ
𣲄|氵 乆
漠|氵 艹 日 大
𠮣|乂 口
𤣚|犭 曲 一 口 䒑 色
䢥|辶 一 止 目
𩀇|口 口 一 丂 隹
薧|艹 N高X 歹 匕
𨗜|人 一 マ 辶 束
𡜰|囗 人 人 女
吲|口 弓 丨
炵|火 夂 ⺀
鄴|业 䒑 未 阝
𨪵|金 目 勹 口
𨤱|日 V正 里
𥔻|礻 申 石
㽀|丷 酉 大 瓦
籂|𥫗 飠 𠂉 巾
𥗇|石 夫 夫 車
鋉|金 束
𤤍|王 旡
𦛜|⺼ 人 一 乛 口
摒|扌 尸 并
𨰏|金 門 冂 二 羽
緗|糹 木 目
鹖|曰 勹 𠃊 人 鸟
𦾎|艹 禾 禾 女
𨈰|身 十 口
𩧤|馬 鹵 𣆪
𣾠|氵 金 欠
𠱢|口 氵 干
𢣥|忄 車 斤 心
䥤|金 雨 勹 巳
旧|丨 日
虦|戈 戈 虍 儿
𪋩|鹿 黍
𩺽|魚 亠 口 口 夊
𩿫|厂 干 鳥
𧳁|豸 夕 夕
𧉩|虫 𠂇 巾
㑲|亻 十 冂 丷 干
𪋎|鹿 山 幺 幺
煴|火 日 皿
𣘓|木 罒 土 厶
䫹|風 工
蟻|虫 𦍌 我
𣠾|木 𦝠 羊
𦸯|艹 辛 木
𥃪|目 十
𡦄|夕 夕 爫 子
嚆|口 艹 高
鎈|金 V羊 工
𩽈|魚 魚 日
𥮖|𥫗 十 Z具X
氍|目 目 隹 毛
𨙂|辶 V⺼ 缶 丿 糸
𠆔|Z亯X 子 臼 儿
纖|糹 人 人 戈 韭
償|亻 ⺌ 冂 口 貝
𤍄|火 礻 且
踡|𧾷 V𢍏 㔾
𢦤|片 戈
暦|厂 木 木 日
𪎨|人 一 月 刂 麻
𤻱|疒 虍 田 心
㰭|大 一 丂 欠
𤍳|小 隹 灬
礯|石 𤇾 糸
𦣉|𦝠 𦥑 丨 又
𦓲|耒 女 口
䮸|Z學X 馬
袺|衤 士 口
𣗋|木 ⺌ 冂 口 儿
愿|厂 白 小 心
幁|巾 頁
魃|鬼 犮
𨩊|金 丷 酉
㛆|女 乃 木
珈|王 力 口
𠥏|匚 一 口 田
𩦵|广 亻 隹 馬
䙑|衤 衣 口 一
荓|艹 并
𣯸|氵 工 コ 木 毛
𡯘|尢 厂 又
壚|土 虍 田 皿
關|門 幺 幺 丱
𣅟|日 冘
𣠔|Z囊X 囗 豕 木
湡|氵 禺
𧳑|豸 尢 丶 彡
𧣺|角 卜 日 十
𦀧|刀 口 力 糸
𩑽|止 匕 頁
䃪|石 亠 囗 口 日 一
𣧓|歹 了 了
即|V皀 卩
遵|辶 丷 酉 寸
𨚨|又 口 阝
𢯸|扌 癶 𠘧 又
棺|木 宀 㠯
𪗼|齒 色
𤈱|卜 目 火
𠞅|田 儿 夊 刂
𨟗|艹 爲 阝
趉|走 屮 凵
𦑖|羽 青
爌|火 广 黃
嚏|口 十 冖 田 疋
㬒|日 艹 犬 廾
𡾕|山 山 氵 日 一 勿
𥰯|𥫗 一 亅 口 一 亅 口
脖|⺼ 孛
料|米 斗
𣞅|果 月 䒑 一 大
䨜|雨 月 月
𢺟|扌 尸 羊 羊 羊
𥘄|石 木 木 缶 冖 凵 𠂭 匕 彡
𤱋|甲 冄
𩌱|革 束 欠
𡌢|土 人 一 乛 口
𩦚|馬 大 丷 日 小
𧪇|言 大 耳
餦|飠 長
綩|糹 宀 夕 㔾
𩤆|木 木 馬
𢈬|广 十 目
𠚯|一 儿 刂
貳|弋 二 貝
𨯟|金 雨 隹
然|V⺼ 犬 灬
喹|口 大 土 土
𩢐|馬 乍
𦡞|⺼ 木 木 示
㨼|田 夂 口 手
𡺿|山 阝 土 八 夊
聀|耳 戈
擃|扌 曲 辰
𥐭|石 𠂉 十
䥆|亠 非 金
𡉌|土 久
𥊒|目 辶 夂 丰
顐|冖 車 頁
糓|士 冂 一 𠘧 又 米
𦚏|立 ⺼
𦺸|艹 米 舛
𠗙|冫 函
话|讠 舌
灠|氵 V監 目 儿
哣|口 一 口 䒑
㥦|匚 大 人 人 心
𤠝|犭 V羊 工
𧱦|豖 尢 丶 彡
揭|扌 曰 勹 𠃊 人
𧭘|言 立 立 日
䡰|士 𠃜 𠘧 又 車
𢳳|扌 山 人 一 𠕁
𧟯|西 土 八 丂
𡅶|口 𡨄 馬
靺|革 末
篽|𥫗 彳 𦈢 卩
䄁|礻 世
𢂀|巾 弗
𪚄|齒 耳 幺 幺 丱
逋|辶 甫
澊|氵 丷 酉 寸
𨝬|Z無X 灬 邑
夑|火 言 火 夊
㢐|广 冎 口
𩧂|馬 幺 白 幺 木
栛|木 力 力 力
䞚|走 支
𩢛|馬 勹 𠃊 人
𣄡|方 人 火 火 火
𡂠|口 艹 Z祭X 示
𣭂|史 毛
隤|阝 中 一 貝
䀫|目 人 一 口
循|彳 𠂆 十 目
𦆅|糹 曰 罒 一 ZX方
𧨜|言 口 ⺼
𠤱|匚 夫
𧝉|衤 黹
輵|車 曰 勹 𠃊 人
溴|氵 自 犬
𥛈|礻 V𠃬
堻|氵 聿 土
㞺|山 矢
𤆡|火 Q乌X 一
𩗊|風 士 口
杅|木 于
䛄|言 夕 㔾
𠿊|口 車 凵 𠘧 又
𨒣|辶 𠂉 子
闎|門 白 水
罕|㓁 干
廔|广 婁
𡅸|十 一 口 䒑 口 堇
𪓘|冄 黽
𠡛|囗 大 力
蹟|𧾷 Z青X 貝
淞|氵 木 八 厶
𦍑|𦍌 儿 丶
坥|土 且
𣛤|果 木 人 人
𣻽|氵 ⺼ 一 巛 工
𤶳|疒 𠂒 口
景|日 Z亯X 小
䗮|虫 大 爻 爻
𤶩|疒 求
𨇒|𧾷 石 石 石
𣆂|日 玄
𠻴|口 V良 月
铸|钅 丰 寸
繿|糹 臣 人 丶 皿
𥷾|𥫗 罒 厶 ⺼ 匕 匕 灬
𦖀|耳 爫 子
𠲉|口 亻 一 士
洈|氵 𠂊 厂 㔾
冋|冂 口
𥈵|目 束 丷
銍|金 至
𡈬|囗 亻 𤰔 厶 寸
𥌺|目 龠
㻘|王 宀 申
𨈅|𧾷 艹 龠
𢦛|十 戈 十
蘚|艹 魚 羊
檝|木 口 耳 戈
𩉛|革 刀
𪏊|黃 戈 戈
𧦱|穴 言
𡠦|土 八 土 丸 女
𧡊|亻 本 目 儿
崨|山 疌
𠆫|亻 才
鸪|十 口 鸟
䊭|米 士 乛 工 一 口 寸
𪌬|麥 米
螯|士 方 攵 虫
𥕒|石 广 卄 一 日
𦦈|臼 干 臼
㔸|匸 𠂆 虍 儿
𡦻|宀 㔾
瘺|疒 尸 雨
媽|女 馬
龿|艹 亻 土 土
𪃁|亻 口 木 鳥
𤭡|耳 又 瓦
𩘍|亠 八 口 儿 風
𤄶|氵 艹 幺 白 幺 木
𣋍|曰 罒 ⺼ 巴
鍌|氵 𠂒 儿 金
矏|目 自 穴 方
𨛢|木 口 阝
𥌏|𠃜 目 冖 日 亠 八
𨐸|辛 癶 一 口 䒑
𢙚|忄 色
𠫝|厶 V川
歜|罒 勹 虫 欠
俟|亻 厶 矢
郡|尹 口 阝
㹪|犭 册
䍬|羊 平
𢟯|土 八 土 丸 心
葮|艹 H段X 𠘧 又
棱|木 土 八 夊
𤝩|犭 矛
𩨕|骨 已
𤴾|疒 斤
孼|山 丿 㠯 辛 子
㿿|疋 皿
鱾|鱼 己
𪆀|弓 米 弓 鳥
𠔃|丷 丂
𦗪|耳 乛 耳 攵
䘅|厶 ⺼ 匕 匕 虫 虫
謇|𡨄 言
𩬧|镸 彡 一 止
𨒖|辶 𠂎 卩
𥓃|石 夂 木
璎|王 贝 贝 女
𦀙|糹 囪
帕|巾 白
挗|扌 夷
𪐙|黑 卜
𩟅|飠 人 一 口 口 人 人
𠮜|口 乚
䲞|鱼 立
醠|酉 央 皿
㘥|囗 V⺼ 缶 丿 糸
笧|𥫗 冊
𧙳|人 一 口 衣
榰|木 老 日
𥇲|氵 皮 目
匷|匚 目 目 隹
鐹|金 辶 冎 口
𨢞|Z齊X 酉
𧦍|言 勿
㲾|宀 水
䇀|穴 革 耳
苂|艹 火
𢭇|扌 囪
𥖠|石 罒 勹 虫
汉|氵 又
𨏍|車 𤇾 木
𡓎|土 彳 一 一 亅 韋
姐|女 且
髒|骨 艹 歹 匕 廾
𠍗|人 一 口 𦥑
䑙|舌 冄
襛|衤 曲 辰
𦕎|耳 八 丂
𤙭|牜 甫
𣇠|日 女 支
狢|犭 夂 口
𡭧|屮 凵 小
屩|P𡳐X 丿 大 口 冂 口
慫|彳 HX從 心
𩲦|鬼 卜 口
𪉭|鹵 田 ZX畏
𤳓|歹 刂 田 共
𨃼|𧾷 礻 乍
𩪜|厂 䒑 屮 欠 骨
𧠩|共 目 儿
䫲|丿 戈 一 口 心 頁
迴|辶 囗 口
𣨔|歹 亻 白
𥦨|穴 金
㑹|人 一 由 曰
𨿕|乂 𠂇 巾 隹
祻|礻 囗 十 口
𤢂|犭 襾 米
莁|艹 工 人 人
𩪁|骨 鬼
搄|扌 忄 二 曰
䢇|宀 儿 辰 寸
𢴊|扌 辶 豕
鮑|魚 勹 巳
𣗙|木 又 隹
𣠂|木 米 田 共
簔|𥫗 衣 口 一
𢂗|H印X 卩 巾
𥑘|石 未
𡲅|尸 木 支
𠔚|𠫓 共
𧣛|角 囗 儿
輞|車 冂 䒑 亠 𠃊
玡|王 牙
𩝚|飠 屮 一 虫
吤|口 人 丿 丨
㢧|弓 一
𦬯|艹 亻 十
芫|艹 二 儿
𡴪|屮 亠 八 屮 亠 八 屮 亠 八
朮|𣎳 丶
䮱|馬 辶 豕
𩚉|飠 也
𦺲|艹 夕 㔾 貝
𢰴|扌 十 口 攵
骻|骨 大 一 丂
缾|缶 并
𢏁|弓 一 幺
𣐊|木 尸 九
𪗅|齊 又
𠑄|亻 火 火 言 又
蹈|𧾷 爫 臼
狋|犭 示
𦓣|山 而 广 黃
坎|土 欠
𣯑|毛 Q烏X 灬
𥀹|艹 冂 糸 丨 虫 皮
𨍢|車 二 欠 口
𨚆|一 廾 邑
𦇸|糹 襾 白 方 攵
晘|日 日 干
䫛|亻 ュ 矢 頁
𢽞|土 丷 干 攴
𡏡|土 立 ZX竜
𨊑|身 三 田 田
𧊺|虫 臣
闥|門 辶 土 羊
繨|糹 辶 土 羊
𪓯|弓 耳 黽
𣾼|氵 走 戉
襲|龍 衣
淵|氵 𣶒
𩬿|镸 彡 衣
𤱨|田 共
噸|口 屯 頁
㫻|日 人 一 𠕁
𤃟|氵 雍 土
𦔔|耒 曰 罒 又
蘃|艹 止 止 止 木
憂|V頁 心 夊
𨗀|辶 人 人 人 人 日
伉|亻 亠 几
𢺈|扌 糹 糸 言
𦞛|⺼ 倉
𩨖|骨 卂
𦅃|糹 隹 灬
𣑚|木 又 又 又
𧺙|走 子
鸓|田 田 田 鳥
禒|礻 彑 𧰨
𩛯|飠 冂 八 口
𣓮|氵 禾 木
𠚘|凵 爫 臼
𣕮|春 木
袜|衤 末
𧱜|豕 人 一 𠕁
𠸎|口 女 又 手
瘣|疒 鬼
冢|冖 豖
𧡰|日 一 止 目 儿
㼩|丿 戈 𠃌 瓦
𡺨|山 韋
脭|⺼ 口 王
悬|且 厶 心
𤸳|疒 山 一 口 䒑
𢦲|丿 戈 斤
𣖟|木 言 十
𨧈|金 艹 一 丂
𩘞|風 气 米
餽|飠 鬼
碼|石 馬
𦆨|糹 厂 艹 禺
𢙃|忄 日 匕
𠇂|亻 口 丶
𨋷|車 工 工
识|讠 口 八
𣙍|木 山 日 匕 匕
煍|火 禾 火
僌|亻 車 攵
㹓|牜 土 土 土 一 儿
𡧒|宀 歹
聗|耳 大 人 人
揖|扌 口 耳
䥝|金 鹿 匕
𤴤|雨 口 口 口 疋
𡙣|大 一 自 夊
顧|戶 隹 頁
篦|𥫗 丿 囗 乂 匕 匕
𨈦|身 人 人
𢅭|巾 束 𠂊 貝
𧥓|角 𠂊 口 匕 匕 免 丶
諰|言 田 心
𥻒|米 夕 米
𨻿|𨸏 羽 白
灷|火 廾
叶|口 十
𣩕|歺 魚
㥽|忄 Z青X 貝
𩮫|镸 彡 乂 木 𠘧 又
𠊁|亻 艹 二 厶
挀|扌 𠂢
䞃|貝 至 夊
𪀂|鳥 幺 力
蒅|艹 氵 九 木
𨵎|門 亠 丷 一 亅 口
𧭜|言 虍 田 心
㘎|口 门 乛 耳 攵
𡪑|宀 口 口 口 丂
笐|𥫗 亠 几
従|彳 䒑 人 卜
鲕|鱼 而
𪆗|其 斤 鳥
𤵛|疒 不 一
𩚄|飠 又
匠|匚 斤
㞣|屮 八 刀
逢|辶 夂 丰
璥|王 卝 勹 口 攵
𣨇|歹 丣
𦿜|⺾ 宀 𠃜 貝
𠾳|一 亅 口 一 亅 口 一 亅 口
栲|木 耂 丂
䲵|小 丿 鳥
醷|酉 音 心
𣔴|木 辶 由
𠍀|亻 氵 東
䁂|臣 又 目
𢓅|彳 人 人
蕄|艹 門 心
槇|木 匕 𠃊 目 八
𦨶|舟 䒑 一 大
𥅣|目 尸 工
𨊌|身 米 舛
𡭐|𠂋 巴 𤰔 厶 寸
塒|土 日 士 寸
𣳕|未 水
鵔|鳥 厶 儿 夊
䇗|𥫗 八 厶
𪉖|鹵 土
蛙|虫 土 土
𨎻|車 𠂊 厂 八 言
𧏤|艹 工 几 丶 虫
𥛮|礻 釆 田
𦓜|老 而 大
𣁢|㡀 攵 文
𡓥|土 單 戈
畤|田 士 寸
姧|女 女 干
黩|黑 十 乛 头
𩈴|面 音
𣳦|氵 丿 囗 乂
𧴒|豸 士 冖 一 口 䒑
𩡩|馬 八
𠡲|厂 兆 力
䵴|黑 黽
𧢅|目 儿 目 儿 心
鉶|金 一 廾 刂
盹|目 屯
𦘾|肉 丸
𨺔|丿 㠯 十 彐 冖 巾
𣲆|氵 己
檆|木 火 火 卜 口
𦙭|⺼ 夂 ⺀
𧕯|虫 丽 鹿
倍|亻 立 口
𧿃|尸 足
锏|钅 门 日
𩠧|首 尸 𠃌 口
㶔|氵 罒 罒 罒 大
䊖|米 十 冂 丷 干
螘|虫 山 一 口 䒑
𢠝|囗 戈 口 一 心
洟|氵 夷
𣰙|毛 木 木 示
𡖤|夕 夕 厶 口
媦|女 田 ⺼
龨|匚 隹
𠀭|釆 𠃌
䔯|艹 酉 十 口
許|言 𠂉 十
𨻲|阝 虍 乎
𣊶|日 㡀 攵
瞸|目 艹 世 木
𦉡|𦈢 日 雨 二 厶
𡠽|女 丿 戈 卜 一 小
崿|山 口 口 一 丂
扁|戶 𠕁
𩋮|革 土 土 寸
俈|亻 𠂒 口
賊|貝 戈 十
𤐣|火 鼎
㕏|厂 一 口 䒑 斗
穑|禾 啬
𦎢|羊 亟
𢟘|忄 耳 戈
據|扌 虍 豕
剡|火 火 刂
靣|丆 囗 口
𨍐|車 疋 ⺼
㿨|白 厂 禾 禾 止
糪|尸 口 辛 米
臬|自 木
𢩱|扌 才
潳|氵 尸 耂 日
𣭿|毛 王 廾
哺|口 甫
駼|馬 入 一 朩
𤞁|犭 𠃨
𢜂|䒑 一 大 又 心
𠎅|亻 彐 工 口 寸
